ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
CND10006BCN3,239923,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-21,---
CND10006BC89,239922,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-14,---
CND100069PK9,230009,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-14,---
CND100069PL7,230008,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-14,---
CND10006BBV8,239920,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-12,---
CND10006BBT2,239921,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-12,---
CND100069P27,239919,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-07,---
CND1000682G3,239918,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-24,---
CND100067586,230007,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-24,---
CND100067578,230006,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-24,---
CND100067552,239917,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-17,---
CND1000652C5,230005,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-14,---
CND1000652Y9,239916,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-10,---
CND1000652D3,239915,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-08,---
CND1000652F8,239914,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-08,---
